id,name,description,status,reasons,countries,categories,website,logo_url,alternatives,alternatives_text,allOf
ahava,Ahava,"Ahava is an Israeli cosmetics company which operates its main manufacturing plant and showroom in Mitzpe Shalem, 
an illegal settlement in the West Bank.[^1]
The Palestinian BDS National Committee has called for a boycott of Ahava.[^2]

[^1]: https://en.wikipedia.org/wiki/Ahava
[^2]: https://bdsmovement.net/Act-Now-Against-These-Companies-Profiting-From-Genocide",avoid,"operations_in_settlements, operations_in_israel",global,,https://www.ahava.com/,https://upload.wikimedia.org/wikipedia/commons/8/81/AhavaLogo.png,,,
airwick,Airwick,"Owned by **Reckitt Benckiser**

**Reckitt Benckiser** signs a cooperation agreement with the Israel Innovation Authority.",avoid,operations_in_israel,global,,,,,,
alignprobiotic,Align Probiotic,"Owned by **Procter and Gamble**.

**Procter and Gamble** opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",avoid,operations_in_israel,global,,,https://images.ctfassets.net/iixu8n1snh6y/4HRKgnHW2rSWu6PrPz8Cnb/0a4e45413fe5c6e3291aa44bd3a86395/ALIGN_US_LOGO_noSpirals2.png,,,
alpengold,Alpen Gold,"Owned by **Mondelez International, Inc.**

**Mondelez International Inc.** on Nov. 10(2020) announced a seed investment in Torr FoodTech, an early stage company based in Israel that has developed proprietary technology Mondelez said ""brings real, simple ingredients together to offer multi-textural, sensorial experiences.""",avoid,operations_in_israel,global,,,,,,
alpro,Alpro,"Owned by **Danone**.

**Danone** leads an investment of about NIS 12.5 million in Israel's Wilk, alongside Israeli milk firm Tara.",avoid,operations_in_israel,global,,,https://static.wikia.nocookie.net/logopedia/images/6/6c/Alpro-2012.png/revision/latest?cb=20210807125043,,,
altoids,Altoids,"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.",avoid,operations_in_israel,global,,,https://cdn.worldvectorlogo.com/logos/altoids.svg,,,
alvalle,Alvalle,"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",avoid,operations_in_israel,global,,,"https://images.crunchbase.com/image/upload/c_lpad,f_auto,q_auto:eco,dpr_1/wgkpigtrdif3a3fe4pzw",,,
always,Always,"Owned by **Procter and Gamble**.

**Procter and Gamble** opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",avoid,operations_in_israel,global,,,https://logowik.com/content/uploads/images/327_always.jpg,,,
ambipur,Ambi Pur,"Owned by **Procter and Gamble**.

**Procter and Gamble** opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",avoid,operations_in_israel,global,,,https://seeklogo.com/images/A/ambi-pur-logo-9AD18672D4-seeklogo.com.png,,,
americanheritagechocolate,American Heritage Chocolate,"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.",avoid,operations_in_israel,global,,,https://american-heritage-chocolates.s3.amazonaws.com/assets/uploads/2018/10/29215446/FINAL-FULL-AHC-LOGO-1024x796.png,tadelle,,
appletiser,Appletiser,"Owned by **The Coca-Cola Company**.

**Coca-Cola Israel** owns dairy farms in the illegal Israeli settlements of Shadmot Mechola in the Jordan Valley and a plant in the industrial zone of Katzerin in the occupied Golan Heights.",avoid,operations_in_settlements,global,,,https://upload.wikimedia.org/wikipedia/fr/thumb/e/ea/Appletiser-logo.jpg/1200px-Appletiser-logo.jpg,,,
aqua,Aqua,"Owned by **Danone**.

**Danone** leads an investment of about NIS 12.5 million in Israel's Wilk, alongside Israeli milk firm Tara.",avoid,operations_in_israel,global,,,https://seeklogo.com/images/A/aqua-2019-logo-76CDAC4BF2-seeklogo.com.png,kizilay,,
aquarius,Aquarius,"Owned by **The Coca-Cola Company**.

**Coca-Cola Israel** owns dairy farms in the illegal Israeli settlements of Shadmot Mechola in the Jordan Valley and a plant in the industrial zone of Katzerin in the occupied Golan Heights.",avoid,operations_in_settlements,global,,,https://cdn.worldvectorlogo.com/logos/aquarius.svg,meysu,,
aquence,Aquence,"Owned by **Henkel**.

**Henkel** invests in Israeli technology namely by investing in Feelit. A company with its roots in Israel.",avoid,operations_in_israel,global,,,,,,
aramis,aramis,"aramis is owned by **Estee Lauder**.

**Ronald Lauder**, who together with his brother Leonard Lauder inherited the Estee Lauder company, is the president of the **World Jewish Congress**, and chairman of the Jewish National Fund, and is a **zionist** with extremist views and financially and politically supports **Israeli** occupation of Palestinian land.",avoid,operations_in_israel,global,,,,,,
ariel,Ariel,"Owned by **Procter and Gamble**.

**Procter and Gamble** opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",avoid,operations_in_israel,global,,,https://seeklogo.com/images/A/Ariel-logo-B2F20EA234-seeklogo.com.png,bingo,,
aspirin,Aspirin,"Owned by **Bayer**.

There is a partnership between **Bayer** and the Israeli Innovation Authority. The Israel Innovation Authority (IIA) is the support arm of the Israeli government, charged with fostering the development of industrial research and development in the State of Israel.",avoid,operations_in_israel,global,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Logo_Aspirin.svg/640px-Logo_Aspirin.svg.png,,,
ateliercologne,Atelier Cologne,"**Atelier Cologne** is owned by **L'Oreal.**

**34.70%** of L'Oreal is owned by Mrs. Francoise Bettencourt Meyers and her family. **20.1%** of L' Oreal is owned by **Nestle**. Nestle began **investing** in **Israel** in 1995 by buying 10% of Israeli food maker **Osem** Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a 53.8 percent stake in Osem Swiss food giant Nestle will set up a global research and development center for snack foods next year in Sderot, a town in Israel's Negev desert, the Maariv.",avoid,operations_in_israel,global,,,,lush,,
aussie,Aussie,"Owned by **Procter and Gamble**.

**Procter and Gamble** opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",avoid,operations_in_israel,global,,,https://theangelicdigital.files.wordpress.com/2013/01/aussie-logo.png,lush,,
authenticbeautyconcept,Authentic Beauty Concept,"Owned by **Henkel**.

**Henkel** invests in Israeli technology namely by investing in Feelit. A company with its roots in Israel.",avoid,operations_in_israel,global,,,,duru,,
aveda,Aveda,"Aveda is owned by **Estee Lauder**.

**Ronald Lauder**, who together with his brother Leonard Lauder inherited the Estee Lauder company, is the president of the **World Jewish Congress**, and chairman of the Jewish National Fund, and is a **zionist** with extremist views and financially and politically supports **Israeli** occupation of Palestinian land.",avoid,operations_in_israel,global,,,,,,
awesomeness,Awesomeness,"Owned by **Paramount Global**.

**Paramount Global** stated, 'We stand with the people of Israel and the global Jewish community.""",avoid,operations_in_israel,global,,,,,,
axe,Axe,"Owned by **Unilever**.

**Axe** and Ben & Jerry's are owned by **Unilever**. When Ben & Jerry's decided to stop selling its products in Israel, **Unilever** sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",avoid,operations_in_israel,global,,,https://logowik.com/content/uploads/images/axe3211.logowik.com.webp,,,
azzarofragrances,Azzaro Fragrances,"**Azzaro Fragrances** is owned by **L'Oreal.**

**34.70%** of L'Oreal is owned by Mrs. Francoise Bettencourt Meyers and her family. **20.1%** of L' Oreal is owned by **Nestle**. Nestle began **investing** in **Israel** in 1995 by buying 10% of Israeli food maker **Osem** Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a 53.8 percent stake in Osem Swiss food giant Nestle will set up a global research and development center for snack foods next year in Sderot, a town in Israel's Negev desert, the Maariv.",avoid,operations_in_israel,global,,,,lush,,
bakenets,Baken-Ets,"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",avoid,operations_in_israel,global,,,https://share.snacks.com/images/v2/webp/logos/bakenets-pdp.webp,croky,,
balisto,Balisto,"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.",avoid,operations_in_israel,global,,,https://belgicastore.com/img/m/63.jpg,tadelle,,
barbie,Barbie,"Owned by **Mattel**.

""We unequivocally stand in solidarity with Israel in the global fight against terrorism,"" says a joint letter that was signed by 15 industry executives, including the CEO of **Mattel**.",avoid,operations_in_israel,global,,,,,,
bare,Bare,"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",avoid,operations_in_israel,global,,,https://logovectordl.com/wp-content/uploads/2020/10/bare-snacks-logo-vector.png,croky,,
barni,Barni,"Owned by **Mondelez International, Inc.**

**Mondelez International Inc.** on Nov. 10(2020) announced a seed investment in Torr FoodTech, an early stage company based in Israel that has developed proprietary technology Mondelez said ""brings real, simple ingredients together to offer multi-textural, sensorial experiences.""",avoid,operations_in_israel,global,,,https://mir-s3-cdn-cf.behance.net/projects/404/1c2353179843741.Y3JvcCw5NjYsNzU1LDAsNDU.png,eti,,
barqs,Barq's,"Owned by **The Coca-Cola Company**.

**Coca-Cola Israel** owns dairy farms in the illegal Israeli settlements of Shadmot Mechola in the Jordan Valley and a plant in the industrial zone of Katzerin in the occupied Golan Heights.",avoid,operations_in_settlements,global,,,https://www.barqs.com/content/dam/nagbrands/us/barqs/en/home/barqs-script-logo.png,,,
bellator,Bellator,"Owned by **Paramount Global**.

**Paramount Global** stated, 'We stand with the people of Israel and the global Jewish community.""",avoid,operations_in_israel,global,,,,,,
belmond,Belmond,"**Belmond** is owned by **LVMH**.

Bernard Arnault, the chairman and **CEO** of **LMVH** Moet Hennessy-Louis Vuitton, and the world's richest man according to Forbes, has **invested** in cybersecurity firm, **Wiz**, the **Israeli** maker of cloud security solutions for enterprises.",avoid,operations_in_israel,global,,,https://upload.wikimedia.org/wikipedia/fr/e/eb/Logo_Belmond.png,,,
belvita,Belvita,"Owned by **Mondelez International, Inc.**

**Mondelez International Inc.** on Nov. 10(2020) announced a seed investment in Torr FoodTech, an early stage company based in Israel that has developed proprietary technology Mondelez said ""brings real, simple ingredients together to offer multi-textural, sensorial experiences.""",avoid,operations_in_israel,global,,,https://static.wikia.nocookie.net/logopedia/images/d/d3/BelVita_breakfast_US_logo_2023.png/revision/latest/scale-to-width-down/300?cb=20230420132655,eti,,
benefitcosmetics,Benefit Cosmetics,"**Benefit Cosmetics** is owned by **LVMH**.

Bernard Arnault, the chairman and **CEO** of **LMVH** Moet Hennessy-Louis Vuitton, and the world's richest man according to Forbes, has **invested** in cybersecurity firm, **Wiz**, the **Israeli** maker of cloud security solutions for enterprises.",avoid,operations_in_israel,global,,,https://upload.wikimedia.org/wikipedia/commons/c/c7/Benefit_Cosmetics_logo.png,,,
benjerrys,Ben & Jerry's,"Owned by **Unilever**.

When **Ben & Jerry's** decided to stop selling its products in Israel, **Unilever** sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force **Ben & Jerry's** brand name to continue selling in Israel.",avoid,operations_in_israel,global,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Ben_%26_Jerry%27s.svg/1024px-Ben_%26_Jerry%27s.svg.png,golf,,
bensoriginal,Ben's Original,"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.",avoid,operations_in_israel,global,,,https://images0.persgroep.net/rcs/U3G132J1Nzo5xN9612JrFlr0KG0/diocontent/176568947/_fitwidth/694/?appId=21791a8992982cd8da851550a453bd7f&quality=0.8,,,
bepanthen,Bepanthen,"Owned by **Bayer**.

There is a partnership between **Bayer** and the Israeli Innovation Authority. The Israel Innovation Authority (IIA) is the support arm of the Israeli government, charged with fostering the development of industrial research and development in the State of Israel.",avoid,operations_in_israel,global,,,https://static.wikia.nocookie.net/logopedia/images/6/60/Bepanthen.png/revision/latest?cb=20210113192849,,,
berluti,Berluti,"**BERLUTI** is owned by **LVMH**.

Bernard Arnault, the chairman and **CEO** of **LMVH** Moet Hennessy-Louis Vuitton, and the world's richest man according to Forbes, has **invested** in cybersecurity firm, **Wiz**, the **Israeli** maker of cloud security solutions for enterprises.",avoid,operations_in_israel,global,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Berluti_logo_%282018%29.svg/2560px-Berluti_logo_%282018%29.svg.png,,,
bet,BET,"Owned by **Paramount Global**.

**Paramount Global** stated, 'We stand with the people of Israel and the global Jewish community.""",avoid,operations_in_israel,global,,,,,,
bigred,Big Red,"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.",avoid,operations_in_israel,global,,,https://assets.stickpng.com/images/60157d093900fa0004e9d8b1.png,ulker,,
bingo,bingo,bingo,support,,,,,https://images.ofix.com/description-image/bingologo.png?output=webp,,,
biotherm,BioTherm,"**BioTherm** is owned by **L'Oreal.**

**34.70%** of L'Oreal is owned by Mrs. Francoise Bettencourt Meyers and her family. **20.1%** of L' Oreal is owned by **Nestle**. Nestle began **investing** in **Israel** in 1995 by buying 10% of Israeli food maker **Osem** Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a 53.8 percent stake in Osem Swiss food giant Nestle will set up a global research and development center for snack foods next year in Sderot, a town in Israel's Negev desert, the Maariv.",avoid,operations_in_israel,global,,,https://cdn.freebiesupply.com/logos/large/2x/biotherm-logo-png-transparent.png,lush,,
bizimmutfak,Bizim Mutfak,"Owned by **Ajinomoto Group**.

**Ajinomoto Co.**, announced a partnership with Tel Aviv, Israel-based SuperMeat, a developer of poultry meat produced from animal cells.",avoid,operations_in_israel,global,,,https://www.ajinomoto.com/cms_wp_ajnmt_global/wp-content/uploads/brands/png/img_brand_BizimMutfak.png,,,
bobbibrown,Bobbi Brown,"Bobbi Brown is owned by **Estee Lauder**

**Ronald Lauder**, who together with his brother Leonard Lauder inherited the Estee Lauder company, is the president of the **World Jewish Congress**, and chairman of the Jewish National Fund, and is a **zionist** with extremist views and financially and politically supports **Israeli** occupation of Palestinian land.",avoid,operations_in_israel,global,,,https://shop.brusselsairport.be/medias/Logo-Bobbi-Brown.png?context=bWFzdGVyfHJvb3R8MTEwMTd8aW1hZ2UvcG5nfGg4MC9oYjgvOTAzNDQyNDcxMzI0Ni9Mb2dvX0JvYmJpLUJyb3duLnBuZ3wxYzY0YWE0MzU4NTJkZWUxZTVlMjk1ZGZiMDY3NWI2MzdiYTI4OTY1ZjhhZmNkNDMyZWY4MWRiNDMwZGMzN2M5,,,
bodyarmor,BodyArmor,"Owned by **The Coca-Cola Company**.

**Coca-Cola Israel** owns dairy farms in the illegal Israeli settlements of Shadmot Mechola in the Jordan Valley and a plant in the industrial zone of Katzerin in the occupied Golan Heights.",avoid,operations_in_settlements,global,,,https://upload.wikimedia.org/wikipedia/commons/a/a8/Bodyarmor_logo.png,,,
bonderite,Bonderite,"Owned by **Henkel**.

**Henkel** invests in Israeli technology namely by investing in Feelit. A company with its roots in Israel.",avoid,operations_in_israel,global,,,,,,
boron,boron,boron,support,,,,,,,,
bounce,Bounce,"Owned by **Procter and Gamble**.

**Procter and Gamble** opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",avoid,operations_in_israel,global,,,https://seeklogo.com/images/B/bounce-logo-29D225F060-seeklogo.com.png,,,
bounty,Bounty,"Owned by **Procter and Gamble**.

**Procter and Gamble** opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",avoid,operations_in_israel,global,,,https://upload.wikimedia.org/wikipedia/en/c/c5/Bounty_logo.png,,,
bountymars,Bounty (Mars),"Owned by **Mars Inc**.

**Mars** will support Israeli start-ups and the formation of companies, and will work together with leading Israeli academic institutions, such as the Hebrew University, the Weizmann Institute, the Technion, Migall and Tel Hai College, among others, to further Foodtech innovations.",avoid,operations_in_israel,global,,,https://upload.wikimedia.org/wikipedia/de/thumb/a/a0/Bounty-Logo.svg/2560px-Bounty-Logo.svg.png,tadelle,,
bournvita,BournVita,"Owned by **Mondelez International, Inc.**

**Mondelez International Inc.** on Nov. 10(2020) announced a seed investment in Torr FoodTech, an early stage company based in Israel that has developed proprietary technology Mondelez said ""brings real, simple ingredients together to offer multi-textural, sensorial experiences.""",avoid,operations_in_israel,global,,,,,,
braun,Braun,"Owned by **Procter and Gamble**.

**Procter and Gamble** opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",avoid,operations_in_israel,global,,,https://logowik.com/content/uploads/images/982_braun.jpg,,,
bravesearch,brave search,brave search,support,,,,,https://assets.stickpng.com/images/623af54d27d4946aceae2f81.png,,,
bref,Bref,"Owned by **Henkel**.

**Henkel** invests in Israeli technology namely by investing in Feelit. A company with its roots in Israel.",avoid,operations_in_israel,global,,,https://www.henkel.nl/resource/image/27604/1x1/1000/1000/234beff21f76c19b05039a10944fe4d9/33DA09224A039F8D22325C47CDE657D9/bref-logo.webp,,,
brisk,Brisk,"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",avoid,operations_in_israel,global,,,https://upload.wikimedia.org/wikipedia/commons/5/5e/Brisk_logo.png,meysu,,
bubly,Bubly,"Owned by **PepsiCo**.

**PepsiCo** bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",avoid,operations_in_israel,global,,,https://upload.wikimedia.org/wikipedia/commons/7/7b/Bubly_logo_2018.png,kizilay,,
bulgari,Bulgari,"Bulgari is owned by **LVMH**.

Bernard Arnault, the chairman and **CEO** of **LMVH** Moet Hennessy-Louis Vuitton, and the world's richest man according to Forbes, has **invested** in cybersecurity firm, **Wiz**, the **Israeli** maker of cloud security solutions for enterprises.",avoid,operations_in_israel,global,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Bulgari_logo.svg/3000px-Bulgari_logo.svg.png,,,
bumbleandbumble,Bumble and bumble,"Bumble and bumble is owned by **Estee Lauder**.

**Ronald Lauder**, who together with his brother Leonard Lauder inherited the Estee Lauder company, is the president of the **World Jewish Congress**, and chairman of the Jewish National Fund, and is a **zionist** with extremist views and financially and politically supports **Israeli** occupation of Palestinian land.",avoid,operations_in_israel,global,,,,,,
buxton,Buxton,"Owned by **Nestle**.

**Nestle** is 100% owned by swiss. **Nestle** began investing in Israel in 1995 by buying 10% of Israeli food maker Osem Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a 53.8 percent stake in Osem Swiss food giant **Nestle** will set up a global research and development centre for snack foods in Sderot, a town in Israel's Negev desert, the Maariv newspaper reported on Sunday.",avoid,operations_in_israel,global,,,https://getlogo.net/wp-content/uploads/2021/03/buxton-natural-mineral-water-logo-vector.png,,,
cacharel,Cacharel,"**Cacharel** is owned by **L'Oreal.**

**34.70%** of L'Oreal is owned by Mrs. Francoise Bettencourt Meyers and her family. **20.1%** of L' Oreal is owned by **Nestle**. Nestle began **investing** in **Israel** in 1995 by buying 10% of Israeli food maker **Osem** Investments, increasing its ownership to 50.1% two years later giving it the controlling share and now owns a 53.8 percent stake in Osem Swiss food giant Nestle will set up a global research and development center for snack foods next year in Sderot, a town in Israel's Negev desert, the Maariv.",avoid,operations_in_israel,global,,,,lush,,
cadbury,Cadbury,"Owned by **Mondelez International, Inc.**

**Mondelez International Inc.** on Nov. 10(2020) announced a seed investment in Torr FoodTech, an early stage company based in Israel that has developed proprietary technology Mondelez said ""brings real, simple ingredients together to offer multi-textural, sensorial experiences.""",avoid,operations_in_israel,global,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Cadbury.svg/1280px-Cadbury.svg.png,tadelle,,
calgon,Calgon,"Owned by **Reckitt Benckiser**

**Reckitt Benckiser** signs a cooperation agreement with the Israel Innovation Authority.",avoid,operations_in_israel,global,,,,,,
calippo,Calippo,"Owned by **Unilever**.

**Calippo** and Ben & Jerry's are owned by **Unilever**. When Ben & Jerry's decided to stop selling its products in Israel, **Unilever** sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",avoid,operations_in_israel,global,,,https://static.wikia.nocookie.net/logopedia/images/a/a5/Calippo_90s.png/revision/latest/scale-to-width-down/250?cb=20100118164042,golf,,
calve,Calve,"Owned by **Unilever**.

**Calve** and Ben & Jerry's are owned by **Unilever**. When Ben & Jerry's decided to stop selling its products in Israel, **Unilever** sold off the Israeli distribution rights to Avi Zinger to circumvent their decision and to force Ben & Jerry's brand name to continue selling in Israel.",avoid,operations_in_israel,global,,,https://logowik.com/content/uploads/images/898_calve.jpg,,,
